pmid,title,abstract,authors,journal,pub_date,mesh_terms,url
40451489,Opsin 3 in keratinocytes mediates the light-induced exaggeration of atopic dermatitis.,"Atopic dermatitis (AD) is a common chronic inflammatory skin disease often exaggerated by sun exposure, whereas sun-exposed regions are usually spared from psoriasis. Opsin 3 (OPN3), a photoreceptor, has been implicated in nonvisual functions of the skin including skin pigmentation and barrier restoration. However, whether OPN3 engages in light-induced inflammation of AD remains unclear. We sought to explore the role and mechanism of OPN3 in light-induced exaggeration of AD. The expression of OPN3 was assessed by reverse transcription quantitative PCR, western blotting, immunohistochemistry, and immunofluorescence. The roles of light and OPN3 in type 2 inflammation were evaluated in mouse models and cultured keratinocytes (KCs). The mechanisms by which OPN3 regulates light-induced inflammation in KCs were examined by bulk RNA-sequencing, ELISA, calcium imaging, and immunofluorescence. We found that OPN3 expression was increased in KCs of skin lesion from patients with AD and MC903-induced AD mouse model, but not patients with psoriasis or imiquimod-induced psoriasis mouse model. Type 2 cytokines induced OPN3 expression in KCs, which upregulated the production of proinflammatory cytokine IL-36γ, TNF-α, IL-8, and IL-1β. Notably, light exposure exaggerated skin inflammation in mouse model of AD, but not psoriasis. Moreover, light triggered the production of proinflammatory cytokines in KCs through OPN3-mediated calcium influx and sphingosine 1-phosphate-sphingosine 1-phosphate receptor signaling. OPN3 plays a microenvironment-specific proinflammatory role in KCs upon light exposure, and may serve as a candidate of therapeutic targets for AD.",Mao Liya; Yin Huibin; Qiu Zhuoqiong; Zhao Lingjie; Wang Shangshang et al.,The Journal of allergy and clinical immunology,2025-05-30,"Dermatitis, Atopic; Animals; Keratinocytes; Humans; Mice; Rod Opsins; Light; Disease Models, Animal; Cytokines; Female",https://pubmed.ncbi.nlm.nih.gov/40451489/
40827120,Atopic Dermatitis Management: from Conventional Therapies to Biomarker-Driven Treatment Approaches.,"Atopic dermatitis (AD) is a chronic relapsing inflammatory skin disorder characterized by pruritus, skin barrier dysfunction, and immune dysregulation. It significantly impacts the quality of life and increases the risk of infections, sleep disturbances, and psychological distress. AD pathogenesis involves genetic predisposition, environmental triggers, microbiome alterations, and immune dysfunction. Traditional treatments such as topical corticosteroids, calcineurin inhibitors, and systemic immunosuppressants provide symptomatic relief but often fail to provide long-term disease control. The emergence of targeted biologics and Janus kinase inhibitors has transformed AD management by offering more precise and effective therapeutic options. However, treatment responses vary, highlighting the need for biomarker-driven personalized therapies. In this review, we explore the evolving therapeutic landscape of AD, emphasizing the emerging role of biomarker-guided treatment strategies. We highlight recent discoveries of therapeutic (OX40, IgE, IL-5, IL-31, IL-22, thymic stromal lymphopoietin) and diagnostic (TARC/CCL17, MDC/CCL2, filaggrin, sphingosine-1-phosphate, CXCL2) biomarkers that offer promising avenues for patient stratification and treatment monitoring. This review offers novel insight into how the convergence of biomarker research and therapeutic innovation can address current gaps in AD care. Future research should focus on refining biomarker-guided treatment strategies, optimizing therapeutic combinations, and addressing unmet patient needs. The integration of biomarker-guided strategies into routine clinical practice represents a critical step toward long-term disease control and improved quality of life for AD patients.",Lee Hye Won; Ju Yun Jin; Choi Seeun; Rhew Kiyon; Sevilleno Samantha Serafin et al.,Biomolecules & therapeutics,2025-08-19,,https://pubmed.ncbi.nlm.nih.gov/40827120/
40864813,Targeting Intracellular Pathways in Atopic Dermatitis with Small Molecule Therapeutics.,"Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disorder characterized by immune dysregulation and epidermal barrier dysfunction. Advances in understanding the interplay of genetic predisposition, cytokine signaling, and environmental triggers have led to the emergence of targeted therapies. Although biologic agents such as dupilumab, tralokinumab, and lebrikizumab have revolutionized AD management, their high costs, injectable administration, and limited global accessibility highlight the need for alternative options. Small molecule therapies are gaining momentum as they target intracellular pathways central to AD pathogenesis and offer oral or topical administration routes. This review provides a comprehensive analysis of key agents including Janus kinase (JAK) inhibitors (upadacitinib, abrocitinib, baricitinib, ruxolitinib, delgocitinib), phosphodiesterase 4 (PDE4) inhibitors (crisaborole, difamilast, roflumilast, apremilast), as well as STAT6 degraders (KT621, NX3911), aryl hydrocarbon receptor modulators, histamine H4 receptor antagonists (adriforant, izuforant), and sphingosine-1-phosphate receptor modulators (etrasimod, BMS-986166). We summarize their mechanisms of action, pharmacological profiles, and pivotal clinical trial data, emphasizing their potential to address unmet therapeutic needs. Finally, we discuss safety concerns, long-term tolerability, and future directions for integrating small molecule therapies into precision treatment strategies for moderate-to-severe AD.",Nitulescu Georgiana; Olaru Octavian Tudorel; Andrei Corina; Nitulescu George Mihai; Zanfirescu Anca,Current issues in molecular biology,2025-08-15,,https://pubmed.ncbi.nlm.nih.gov/40864813/
40693579,Small EVs From Adipose-Derived MSCs Modulate Epidermal Barrier and Inflammation Via Sphingosine-1-Phosphate Signaling Pathway.,"Epidermal permeability barrier defects are associated with several skin diseases, including atopic dermatitis (AD). Using an AD mouse model, we previously demonstrated that topically administered small extracellular vesicles (sEVs) (prepared following the International Society of Extracellular Vesicles recommendations) from human adipose tissue-derived mesenchymal stem cells (ASC) ameliorate skin inflammation and normalize barrier function in parallel with increased ceramide (a key barrier lipid) production. To elucidate how ASC-sEVs alleviate these AD skin abnormalities, we characterized lipids and ceramide metabolic enzymes in ASC-sEVs versus donor ASCs. Our study revealed that free fatty acid, ceramide, and sphingomyelin are enriched in ASC-sEVs versus donor ASCs, while the synthetic enzymes of ceramide (and acidic sphingomyelinase), and sphingosine-1-phosphate (sphingosine kinase) are significantly higher in ASC-sEVs versus donor ASCs. Conversely, ceramide (ceramidase), and sphingosine-1-phosphate hydrolytic enzymes (sphingosine-1-phosphate lyase and sphingosine-1-phosphate phosphatase) are lower in ASC-sEVs, suggesting that ceramide and sphingosine-1-phosphate levels could elevate in cells that receive ASC-sEVs. ASC-sEV-mediated increases in sphingosine-1-phosphate suppress pro-inflammatory cytokine production in AD-model human keratinocytes. Additionally, keratinocyte differentiation, which is required for a competent epidermal permeability barrier, was restored in AD-model human keratinocytes treated with ASC-sEVs. Taken together, cells that endocytose ASC-sEVs can normalize epidermal permeability barrier function as well as alleviate inflammation by stimulating a sphingosine-1-phosphate signalling pathway.",Shin Kyong-Oh; Lee Jun Ho; Chae Seungwoo; Goto Karin; An Hahyun et al.,Journal of extracellular vesicles,2025-Jul-01,Lysophospholipids; Sphingosine; Humans; Mesenchymal Stem Cells; Animals; Signal Transduction; Mice; Epidermis; Extracellular Vesicles; Ceramides,https://pubmed.ncbi.nlm.nih.gov/40693579/
39575597,Low Incidence of Macular Edema and Other Ocular Events in the Etrasimod Development Program.,"Sphingosine 1-phosphate receptor modulators have been associated with an increased risk of macular edema. Etrasimod is an oral, once-daily, selective sphingosine 1-phosphate1,4,5 receptor modulator. We report the proportions and incidence rates (per 100 patient-years of exposure) of Macular edema and other ocular adverse events in the etrasimod clinical program, including patients with ulcerative colitis, Crohn's disease, eosinophilic esophagitis, alopecia areata, and atopic dermatitis. Ulcerative colitis data were analyzed in 2 cohorts: Placebo-controlled ulcerative colitis and All ulcerative colitis (comprising the Placebo-controlled ulcerative colitis cohort plus open-label extension studies). In the Placebo-controlled ulcerative colitis cohort, Macular edema was reported in 2 patients receiving etrasimod (0.3%; incidence rate: 0.70) and 1 receiving placebo (0.3%; incidence rate: 0.84). In the All ulcerative colitis cohort, 1 patient (0.1%; incidence rate: 0.13) receiving etrasimod reported 2 events of Cystoid macular edema. All events were nonserious, and 1 led to treatment discontinuation. No events of Macular edema were reported in other conditions. Nine and 4 patients receiving etrasimod reported Vision blurred and Visual impairment adverse events, respectively. All events were nonserious and most did not require any intervention. Macular edema and other ocular events were uncommon in patients treated with etrasimod across multiple conditions. Incidence of Macular edema was comparable with placebo. NCT02447302; NCT03945188; NCT03996369; NCT02536404; NCT03950232; NCT04176588; NCT04173273; NCT04682639; NCT04556734; NCT04162769.",Dubinsky Marla C; Wu Joseph; McDonnell Aoibhinn; Lazin Krisztina; Goetsch Martina et al.,Journal of Crohn's & colitis,2025-May-08,"Adult; Aged; Female; Humans; Male; Middle Aged; Colitis, Ulcerative; Incidence; Macular Edema; Sphingosine 1 Phosphate Receptor Modulators",https://pubmed.ncbi.nlm.nih.gov/39575597/
39000023,"Deciphering the Interplay between the Epithelial Barrier, Immune Cells, and Metabolic Mediators in Allergic Disease.","Chronic exposure to harmful pollutants, chemicals, and pathogens from the environment can lead to pathological changes in the epithelial barrier, which increase the risk of developing an allergy. During allergic inflammation, epithelial cells send proinflammatory signals to group 2 innate lymphoid cell (ILC2s) and eosinophils, which require energy and resources to mediate their activation, cytokine/chemokine secretion, and mobilization of other cells. This review aims to provide an overview of the metabolic regulation in allergic asthma, atopic dermatitis (AD), and allergic rhinitis (AR), highlighting its underlying mechanisms and phenotypes, and the potential metabolic regulatory roles of eosinophils and ILC2s. Eosinophils and ILC2s regulate allergic inflammation through lipid mediators, particularly cysteinyl leukotrienes (CysLTs) and prostaglandins (PGs). Arachidonic acid (AA)-derived metabolites and Sphinosine-1-phosphate (S1P) are significant metabolic markers that indicate immune dysfunction and epithelial barrier dysfunction in allergy. Notably, eosinophils are promoters of allergic symptoms and exhibit greater metabolic plasticity compared to ILC2s, directly involved in promoting allergic symptoms. Our findings suggest that metabolomic analysis provides insights into the complex interactions between immune cells, epithelial cells, and environmental factors. Potential therapeutic targets have been highlighted to further understand the metabolic regulation of eosinophils and ILC2s in allergy. Future research in metabolomics can facilitate the development of novel diagnostics and therapeutics for future application.",Kan Lea Ling-Yu; Li Peiting; Hon Sharon Sze-Man; Lai Andrea Yin-Tung; Li Aixuan et al.,International journal of molecular sciences,2024-06-24,"Humans; Hypersensitivity; Animals; Eosinophils; Epithelial Cells; Immunity, Innate; Dermatitis, Atopic; Lymphocytes; Rhinitis, Allergic",https://pubmed.ncbi.nlm.nih.gov/39000023/
38388871,Etrasimod: First Approval.,"Etrasimod (VELSIPITY™) is an orally available, small-molecule selective sphingosine-1-phosphate (S1P) receptor modulator being developed by Pfizer for the treatment of ulcerative colitis and other immune-mediated inflammatory disorders. Etrasimod is selective for S1P receptor subtypes S1P<sub>1</sub>, S1P<sub>4</sub> and S1P<sub>5</sub> while having minimal activity on S1P<sub>3</sub> and no activity on S1P<sub>2</sub>. Etrasimod received its first approval, in the USA, in October 2023 for the treatment of moderately to severely active ulcerative colitis in adults. Subsequently, the European Medicines Agency adopted a positive opinion in December 2023, recommending the granting of marketing authorisation for etrasimod for the treatment of patients aged ≥ 16 years with moderately to severely active ulcerative colitis who have had an inadequate response, lost response, or were intolerant to either conventional therapy, or a biological agent. Etrasimod is also under regulatory review for the treatment of ulcerative colitis in several other countries. Clinical development of etrasimod for use in the treatment of Crohn's disease, atopic dermatitis, eosinophilic oesophagitis and alopecia areata is ongoing worldwide. This article summarises the milestones in the development of etrasimod leading to this first approval for the treatment of ulcerative colitis in adults.",Shirley Matt,Drugs,2024-Feb-01,"Adult; Humans; Colitis, Ulcerative; Crohn Disease; Acetates; Indoles",https://pubmed.ncbi.nlm.nih.gov/38388871/
38724797,The Future of Atopic Dermatitis Treatment.,"This chapter thoroughly examines recent breakthroughs in atopic dermatitis (AD) treatment, with a primary focus on the medications in the development pipeline. Biologics agents targeting new interleukin receptors like interleukin-31, interleukin-22, and interleukin-2 are discussed along with the novel pathway looking at the OX40-OX40L interaction. Oral agents and small molecule therapies like Janus kinase inhibitors, sphingosine-1-phosphate modulators, and Bruton's tyrosine kinase inhibitors are also discussed along with the various new topical medications. Newly approved topicals like phosphodiesterase-4 and JAK inhibitors are highlighted while also discussing the potential of tapinarof and emerging microbiome-targeted therapies. Beyond conventional approaches, the chapter touches upon unconventional therapies currently being studied. The goal of this chapter is to discuss new advances in AD treatment from medications in the initial stages of development to those nearing FDA approval.",Lovell Katie; Patel Nupur; Rao Saroja; Strowd Lindsay C,Advances in experimental medicine and biology,2024-01-01,"Dermatitis, Atopic; Humans; Biological Products; Phosphodiesterase 4 Inhibitors; Janus Kinase Inhibitors; Animals; Molecular Targeted Therapy; Dermatologic Agents",https://pubmed.ncbi.nlm.nih.gov/38724797/
37801525,Ant Venom-Based Ceramide Therapy Is Effective Against Atopic Dermatitis In Vivo.,"Atopic dermatitis (AD) is a common skin condition with relatively few therapeutic alternatives. These include corticosteroids, which address inflammation but not superinfection, and Januse kinase (JAK) inhibitors, which have a US Food and Drug Administration (FDA) black box for potential carcinogenicity. We demonstrate that S14, a synthetic derivative of ant venom-derived solenopsin, has potent anti inflammatory effects on the OVA murine model of atopic dermatitis. S14 has demonstrated prior activity in murine psoriasis and has the benefit of ceramide anti-inflammatory effects without being able to be metabolized into proinflammatory sphingosine-1 phosphate. The efficacy of S14 accompanied by the induction of IL-12 suggests a commonality in inflammatory skin disorders, and our results suggest that pharmacological ceramide restoration will be broadly effective for inflammatory skin disease. Solenopsin derivative S14 has anti-inflammatory effects in murine models of AD and psoriasis. This makes S14 a strong candidate for human use, and pre-IND studies are warranted.J Drugs Dermatol. 2023;22(10):1001-1006 doi:10.36849/JDD.7308.",Leyva-Castillo Juan Manuel; Huang Christina; Baker Paola; Bacsa John; Geha Raif S et al.,Journal of drugs in dermatology : JDD,2023-Oct-01,"Humans; Mice; Animals; Dermatitis, Atopic; Ant Venoms; Ceramides; Psoriasis; Anti-Inflammatory Agents",https://pubmed.ncbi.nlm.nih.gov/37801525/
36695074,"Efficacy and safety of etrasimod, a sphingosine 1-phosphate receptor modulator, in adults with moderate-to-severe atopic dermatitis (ADVISE).","Etrasimod is an oral, selective, sphingosine 1-phosphate (S1P) receptor<sub>1,4,5</sub> modulator in development for immune-mediated inflammatory disorders. Efficacy and safety of orally administered S1P receptor modulation in atopic dermatitis (AD) have not yet been examined. To assess the efficacy and safety of etrasimod monotherapy in adults with moderate-to-severe AD. In this phase 2, randomized, double-blind, placebo-controlled trial, participants (≥18 years) with moderate-to-severe AD defined as baseline validated Investigator's Global Assessment (vIGA-AD) score ≥ 3, Eczema Area and Severity Index (EASI) score ≥ 16, and body surface area involvement ≥10% were randomized 1:1:1 to once-daily oral etrasimod 1 mg, 2 mg or placebo for 12 weeks. The primary outcome was percent change in EASI score from baseline at week 12, assessed in the Full Analysis Set (all randomized participants). Key secondary outcomes were achievement of a vIGA-AD score of 0 or 1 with a ≥2-point improvement from baseline and EASI-75 response at Week 12. Safety was assessed during the double-blind period. One hundred and forty participants were randomized to etrasimod 2 mg (n = 47), 1 mg (n = 47) or placebo (n = 46). At Week 12, percent change in EASI score was -57.2% in the etrasimod 2-mg group versus -48.4% in the placebo group (p = 0.18). A significantly greater proportion of participants receiving etrasimod 2 mg achieved vIGA-AD scores of 0 or 1 with a ≥2-point improvement at Week 12 versus placebo (29.8% vs. 13.0%; p = 0.045); however, EASI-75 response was not statistically significant versus placebo. Treatment-emergent adverse events (AEs) occurred in 59.6%, 40.4% and 47.8% of participants receiving etrasimod 2 mg, 1 mg and placebo, respectively. There were no serious AEs or deaths. The primary outcome was not met, although efficacy was observed for etrasimod 2 mg on several clinician- and patient-assessed measures, and both 1- and 2-mg doses were well tolerated, warranting further clinical investigation in AD.",Silverberg Jonathan I; Bissonnette Robert; Kircik Leon; Murrell Dedee F; Selfridge Andrew et al.,Journal of the European Academy of Dermatology and Venereology : JEADV,2023-02-13,"Adult; Humans; Dermatitis, Atopic; Sphingosine-1-Phosphate Receptors; Treatment Outcome; Severity of Illness Index; Double-Blind Method",https://pubmed.ncbi.nlm.nih.gov/36695074/
37047680,"Resveratrol Protects against Skin Inflammation through Inhibition of Mast Cell, Sphingosine Kinase-1, Stat3 and NF-κB p65 Signaling Activation in Mice.","Inflammation is pathogenic to skin diseases, including atopic dermatitis (AD) and eczema. Treatment for AD remains mostly symptomatic with newer but costly options, tainted with adverse side effects. There is an unmet need for safe therapeutic and preventative strategies for AD. Resveratrol (R) is a natural compound known for its anti-inflammatory properties. However, animal and human R studies have yielded contrasting results. Mast cells (MCs) are innate immune skin-resident cells that initiate the development of inflammation and progression to overt disease. R's effects on MCs are also controversial. Using a human-like mouse model of AD development consisting of a single topical application of antigen ovalbumin (O) for 7 days, we previously established that the activation of MCs by a bioactive sphingolipid metabolite sphingosine-1-phosphate (S1P) initiated substantial skin remodeling compared to controls. Here, we show that daily R application normalized O-mediated epidermal thickening, ameliorated cell infiltration, and inhibited skin MC activation and chemokine expression. We unraveled R's multiple mechanisms of action, including decreased activation of the S1P-producing enzyme, sphingosine kinase 1 (SphK1), and of transcription factors Signal Transducer and Activator of Transcription 3 (Stat3) and NF-κBp65, involved in chemokine production. Thus, R may be poised for protection against MC-driven pathogenic skin inflammation.",Carlucci Christopher D; Hui Yvonne; Chumanevich Alena P; Robida Piper A; Fuseler John W et al.,International journal of molecular sciences,2023-04-04,"Animals; Humans; Mice; Chemokines; Dermatitis, Atopic; Inflammation; Mast Cells; NF-kappa B; Resveratrol; Sphingosine",https://pubmed.ncbi.nlm.nih.gov/37047680/
36674974,Sphingosine 1-Phosphate as Essential Signaling Molecule in Inflammatory Skin Diseases.,"Sphingolipids are crucial molecules of the mammalian epidermis. The formation of skin-specific ceramides contributes to the formation of lipid lamellae, which are important for the protection of the epidermis from excessive water loss and protect the skin from the invasion of pathogens and the penetration of xenobiotics. In addition to being structural constituents of the epidermal layer, sphingolipids are also key signaling molecules that participate in the regulation of epidermal cells and the immune cells of the skin. While the importance of ceramides with regard to the proliferation and differentiation of skin cells has been known for a long time, it has emerged in recent years that the sphingolipid sphingosine 1-phosphate (S1P) is also involved in processes such as the proliferation and differentiation of keratinocytes. In addition, the immunomodulatory role of this sphingolipid species is becoming increasingly apparent. This is significant as S1P mediates a variety of its actions via G-protein coupled receptors. It is, therefore, not surprising that dysregulation in the signaling pathways of S1P is involved in the pathophysiological conditions of skin diseases. In the present review, the importance of S1P in skin cells, as well as the immune cells of the skin, is elaborated. In particular, the role of the molecule in inflammatory skin diseases will be discussed. This is important because interfering with S1P signaling pathways may represent an innovative option for the treatment of inflammatory skin diseases.",Kleuser Burkhard; Bäumer Wolfgang,International journal of molecular sciences,2023-01-11,Animals; Sphingosine; Sphingolipids; Lysophospholipids; Ceramides; Skin Diseases; Dermatitis; Mammals,https://pubmed.ncbi.nlm.nih.gov/36674974/
36294465,The Dawn of a New Era in Atopic Dermatitis Treatment.,"Atopic dermatitis (AD) is one of the most common chronic inflammatory skin diseases, and the condition is typified by barrier dysfunction and immune dysregulation. Recent studies have characterized various phenotypes and endotypes of AD and elucidated the mechanism. Numerous topical and systemic narrow targeting therapies for AD have been developed according to these findings. Topical medications, including Janus kinase (JAK) inhibitors, phosphodiesterase 4 inhibitors, and the aryl hydrocarbon receptor agonist tapinarof, are effective and safe for AD compared to topical corticosteroids. Oral JAK inhibitors and monoclonal antibodies targeting interleukin (IL)-4, IL-13, IL-31, IL-33, OX40, thymic stromal lymphopoietin, and sphingosine 1-phosphate signaling have displayed outstanding efficacy against moderate-to-severe AD. We are currently in a new era of AD treatment.",Yamamura Kazuhiko; Nakahara Takeshi,Journal of clinical medicine,2022-10-18,,https://pubmed.ncbi.nlm.nih.gov/36294465/
