pmid,title,abstract,authors,journal,pub_date,mesh_terms,url
26803226,Sphingosine 1-phospate differentially modulates maturation and function of human Langerhans-like cells.,"As mediators between innate and adaptive immune responses, Langerhans cells (LCs) are in the focus of recent investigations to determine their role in allergic inflammatory diseases like allergic contact dermatitis and atopic dermatitis. Sphingosine 1-phosphate (S1P) is a crucial lipid mediator in the skin and potentially interferes with LC homeostasis but also functional properties, such as cytokine release, migration and antigen-uptake which are considered to be key events in the initiation and maintenance of pathological disorders. Here, we used human Langerhans-like cells to study the influence of S1P-mediated signalling on LC maturation, cytokine release, migration and endocytosis. Immature Langerhans-like cells were generated from the human acute myeloid leukaemia cell line MUTZ-3 (MUTZ-LCs) and human primary monocytes (MoLCs). S1P receptor expression was determined by quantitative RT-PCR and western blotting. Expression of maturation markers were investigated by flow cytometry. The influence of S1P signalling on cytokine release was quantified by ELISA. Migration assays and FITC-dextran uptake in the presence of S1P, specific S1 P receptor agonists and antagonists as well as fingolimod (FTY720) were analysed through fluorescence microscopy and flow cytometry. S1P receptor protein expression was confirmed for S1P1, S1P2 and S1P4 in MUTZ-LCs and S1P1 and S1P2 in MoLCs. In mature cells S1P receptors were downregulated. S1P did not induce maturation in MUTZ-LCs, whereas in MoLCs CD83 and CD86 were slightly upregulated. IL-8 release of MUTZ-LCs matured in the presence of S1P was not altered, however, reduced IL-6 and IL-12p70 levels were observed in mature MoLCs. Interestingly, immature MUTZ-LCs revealed a significantly increased S1P-dependent migratory capacity, whereas CCL20 induced migration was significantly decreased in the presence of S1P. Furthermore, migratory capacity towards CCL21 in mature MUTZ-LCs but not MoLCs was significantly lower when cells were stimulated with S1P. S1P, FTY720 and specific S1P receptor agonists did not modulate the endocytotic capacity of immature MUTZ-LCs and MoLCs. These findings were further supported by testing specific antagonists of S1P1-4 in the absence or presence of S1P. Our data demonstrate that S1P regulates key events of human LC maturation including cytokine release and migration. These findings are of particular importance when considering the potential use of S1P in inflammatory skin disorders.",Bock Stephanie; Pfalzgraff Anja; Weindl Günther,Journal of dermatological science,2016-01-09,"Cell Differentiation; Cell Line, Tumor; Cell Movement; Cytokines; Endocytosis; Fingolimod Hydrochloride; Humans; Langerhans Cells; Lysophospholipids; Phenotype",https://pubmed.ncbi.nlm.nih.gov/26803226/
26786937,The role of epidermal sphingolipids in dermatologic diseases.,"Sphingolipids, a group of lipids containing the sphingoid base, have both structural and biological functions in human epidermis. Ceramides, as a part of extracellular lipids in the stratum corneum, are important elements of the skin barrier and are involved in the prevention of transepidermal water loss. In addition, ceramides regulate such processes as proliferation, differentiation and apoptosis of keratinocytes. Another important sphingolipid, sphingosine-1-phosphate (S1P), inhibits proliferation and induces differentiation of keratinocytes. A recent clinical study of the efficacy and safety of ponesimod (a selective modulator of the S1P receptor 1) suggested that sphingolipid metabolism may become a new target for the pharmacological treatment of psoriasis. The role of sphingolipids in some dermatologic diseases, including psoriasis, atopic dermatitis and ichthyoses was summarized in this article.",Borodzicz Sonia; Rudnicka Lidia; Mirowska-Guzel Dagmara; Cudnoch-Jedrzejewska Agnieszka,Lipids in health and disease,2016-01-19,Epidermis; Humans; Skin Diseases; Sphingolipids,https://pubmed.ncbi.nlm.nih.gov/26786937/
24434636,"Sphingosine-1-phosphate differently regulates the cytokine production of IL-12, IL-23 and IL-27 in activated murine bone marrow derived dendritic cells.","Sphingosine-1-phosphate (S1P) modulates many cell functions such as lymphocyte trafficking and signaling as well as keratinocyte proliferation. However, less is known about the specific effects of S1P on cytokine production, particularly on the interaction between dendritic cells (DCs) and keratinocytes, cell types which are crucial for the initiation and maintenance of chronic inflammatory skin diseases like atopic dermatitis or psoriasis. Especially the cytokines of the IL-12 family play a dominant role in many inflammatory diseases as they have a significant impact on T-helper cell function. In the present study we show that S1P decreased the production of the pro-inflammatory cytokines IL-12 and IL-23 in LPS-stimulated DCs via the common subunit p40 as well as in the crosstalk with activated keratinocytes. By using specific S1P receptor agonists (SEW2871, FTY720-P) and antagonist (JTE013) we identified an important role for S1P receptor 1 in the modulation of the cytokine profile. While diminishing IL-12 and IL-23 secretion, S1P enhanced IL-27 production in DCs. To elucidate the mechanism of the different impact on the IL-12 family cytokine production, we investigated the mitogen-activated protein kinase (MAPK) and phosphatidylinositide 3-kinase (PI3K) pathways in DCs. By using specific MAPK-Inhibitors (U0126, SB202190, SP600125) we demonstrated that ERK, p38 and JNK differently regulate each pathway of each cytokine. While p38 and JNK did not seem to play a role in the modulation properties of S1P on cytokine production, ERK is at least partially involved in the S1P mediated modulation of IL-12 and IL-27. The PI3K-Inhibitor abrogated the S1P-induced decrease of IL-12 and IL-23 secretion, while it had no influence on the S1P-induced increase of IL-27 production. These data implicate, that S1P has an anti-inflammatory impact on the production of IL-12 family cytokines, indicating therapeutic potential for S1P treatment of several inflammatory diseases like psoriasis.",Schaper Katrin; Kietzmann Manfred; Bäumer Wolfgang,Molecular immunology,2014-01-14,"Androstadienes; Animals; Bone Marrow Cells; Cells, Cultured; Dendritic Cells; Enzyme Inhibitors; Gene Expression; Immunoblotting; Interleukin-12; Interleukin-23",https://pubmed.ncbi.nlm.nih.gov/24434636/
24586752,Pseudomonas-derived ceramidase induces production of inflammatory mediators from human keratinocytes via sphingosine-1-phosphate.,"Ceramide is important for water retention and permeability barrier functions in the stratum corneum, and plays a key role in the pathogenesis of atopic dermatitis (AD). A Pseudomonas aeruginosa-derived neutral ceramidase (PaCDase) isolated from a patient with AD was shown to effectively degrade ceramide in the presence of Staphylococcus aureus-derived lipids or neutral detergents. However, the effect of ceramide metabolites on the functions of differentiating keratinocytes is poorly understood. We found that the ceramide metabolite sphingosine-1-phosphate (S1P) stimulated the production of inflammatory mediators such as TNF-α and IL-8 from three-dimensionally cultured human primary keratinocytes (termed ""3D keratinocytes""), which form a stratum corneum. PaCDase alone did not affect TNF-α gene expression in 3D keratinocytes. In the presence of the detergent Triton X-100, which damages stratum corneum structure, PaCDase, but not heat-inactivated PaCDase or PaCDase-inactive mutant, induced the production of TNF-α, endothelin-1, and IL-8, indicating that this production was dependent on ceramidase activity. Among various ceramide metabolites, sphingosine and S1P enhanced the gene expression of TNF-α, endothelin-1, and IL-8. The PaCDase-enhanced expression of these genes was inhibited by a sphingosine kinase inhibitor and by an S1P receptor antagonist VPC 23019. The TNF-α-binding antibody infliximab suppressed the PaCDase-induced upregulation of IL-8, but not TNF-α, mRNA. PaCDase induced NF-κB p65 phosphorylation. The NF-κB inhibitor curcumin significantly inhibited PaCDase-induced expression of IL-8 and endothelin-1. VPC 23019 and infliximab inhibited PaCDase-induced NF-κB p65 phosphorylation and reduction in the protein level of the NF-κB inhibitor IκBα. Collectively, these findings suggest that (i) 3D keratinocytes produce S1P from sphingosine, which is produced through the hydrolysis of ceramide by PaCDase, (ii) S1P induces the production of TNF-α via S1P receptors, and (iii) released TNF-α stimulates the production of inflammatory mediators such as IL-8.",Oizumi Ami; Nakayama Hitoshi; Okino Nozomu; Iwahara Chihiro; Kina Katsunari et al.,PloS one,2014-02-25,"Cells, Cultured; Endothelin-1; Humans; I-kappa B Proteins; Inflammation Mediators; Interleukin-8; Keratinocytes; Lysophospholipids; NF-KappaB Inhibitor alpha; Neutral Ceramidase",https://pubmed.ncbi.nlm.nih.gov/24586752/
26120515,Sphingosine-1-phosphate as signaling molecule in the skin: Relevance in atopic dermatitis.,"Sphingolipids are essential molecules of the mammalian epidermis. Keratinocytes generate and secrete huge amounts of ceramide-precursors to the extracellular domain of the stratum corneum, where they are further metabolized to specific ceramide species. The arrangement of ceramides to well-organized lipid lamellae is essential to form the epidermal barrier. Besides their role as structural components sphingolipids are also critical molecules involved in the modulation of epidermal cells. Sphingosine-1-phosphate (S1P) has been identified as a prominent signaling molecule which regulates fundamental functions of keratinocytes and skin dendritic cells. Thus, S1P inhibits proliferation of keratinocytes and induces their differentiation. Moreover, antigen uptake, migration and cytokine production of dendritic cells are under the control of this sphingolipid. A dysregulation of the sphingolipid metabolism has been discussed in inflammatory skin disorders like atopic dermatitis. Animal models of contact dermatitis provide evidence that topical treatment with S1P is connected with an anti-inflammatory action suggesting a novel approach for the treatment of atopic dermatitis.",Japtok Lukasz; Bäumer Wolfgang; Kleuser Burkhard,Allergo journal international,2014-03-19,,https://pubmed.ncbi.nlm.nih.gov/26120515/
24244808,Sphingolipids and antimicrobial peptides: function and roles in atopic dermatitis.,"Inflammatory skin diseases such as atopic dermatitis (AD) and rosacea were complicated by barrier abrogation and deficiency in innate immunity. The first defender of epidermal innate immune response is the antimicrobial peptides (AMPs) that exhibit a broad-spectrum antimicrobial activity against multiple pathogens, including Gram-positive and Gram-negative bacteria, viruses, and fungi. The deficiency of these AMPs in the skin of AD fails to protect our body against virulent pathogen infections. In contrast to AD where there is a suppression of AMPs, rosacea is characterized by overexpression of cathelicidin antimicrobial peptide (CAMP), the products of which result in chronic epidermal inflammation. In this regard, AMP generation that is controlled by a key ceramide metabolite S1P-dependent mechanism could be considered as alternate therapeutic approaches to treat these skin disorders, i.e., Increased S1P levels strongly stimulated the CAMP expression which elevated the antimicrobial activity against multiple pathogens resulting the improved AD patient skin.",Park Kyungho; Lee Sinhee; Lee Yong-Moon,Biomolecules & therapeutics,2013-Jul-30,,https://pubmed.ncbi.nlm.nih.gov/24244808/
23563666,Sphingolipids and inflammatory diseases of the skin.,"Mammalian skin protects our body against external assaults due to a well-organized skin barrier. The formation of the skin barrier is a complex process, in which basal keratinocytes lose their mitotic activity and differentiate to corneocytes. These corneocytes are embedded in intercellular lipid lamellae composed of ceramides, cholesterol, fatty acids, and cholesterol esters. Ceramides are the dominant lipid molecules and their reduction is connected with a transepidermal water loss and an epidermal barrier dysfunction resulting in inflammatory skin diseases. Moreover, bioactive sphingolipid metabolites like ceramide-1-phosphate, sphingosylphosphorylcholine, and sphingosine-1-phosphate are also involved in the biological modulation of keratinocytes and immune cells of the skin. Therefore, it is not astonishing that a dysregulation of sphingolipid metabolism has been identified in inflammatory skin diseases such as atopic dermatitis and psoriasis vulgaris. This chapter will describe not only the specific sphingolipid species and their skin functions but also the dysregulation of sphingolipid metabolism in inflammatory skin diseases.",Kleuser Burkhard; Japtok Lukasz,Handbook of experimental pharmacology,2013-01-01,"Animals; Dermatitis, Atopic; Humans; Langerhans Cells; Permeability; Psoriasis; Signal Transduction; Skin; Skin Absorption; Sphingolipids",https://pubmed.ncbi.nlm.nih.gov/23563666/
23145172,Sphingosine 1-phosphate modulates antigen capture by murine Langerhans cells via the S1P2 receptor subtype.,"Dendritic cells (DCs) play a pivotal role in the development of cutaneous contact hypersensitivity (CHS) and atopic dermatitis as they capture and process antigen and present it to T lymphocytes in the lymphoid organs. Recently, it has been indicated that a topical application of the sphingolipid sphingosine 1-phosphate (S1P) prevents the inflammatory response in CHS, but the molecular mechanism is not fully elucidated. Here we indicate that treatment of mice with S1P is connected with an impaired antigen uptake by Langerhans cells (LCs), the initial step of CHS. Most of the known actions of S1P are mediated by a family of five specific G protein-coupled receptors. Our results indicate that S1P inhibits macropinocytosis of the murine LC line XS52 via S1P(2) receptor stimulation followed by a reduced phosphatidylinositol 3-kinase (PI3K) activity. As down-regulation of S1P(2) not only diminished S1P-mediated action but also enhanced the basal activity of LCs on antigen capture, an autocrine action of S1P has been assumed. Actually, S1P is continuously produced by LCs and secreted via the ATP binding cassette transporter ABCC1 to the extracellular environment. Consequently, inhibition of ABCC1, which decreased extracellular S1P levels, markedly increased the antigen uptake by LCs. Moreover, stimulation of sphingosine kinase activity, the crucial enzyme for S1P formation, is connected not only with enhanced S1P levels but also with diminished antigen capture. These results indicate that S1P is essential in LC homeostasis and influences skin immunity. This is of importance as previous reports suggested an alteration of S1P levels in atopic skin lesions.",Japtok Lukasz; Schaper Katrin; Bäumer Wolfgang; Radeke Heinfried H; Jeong Se Kyoo et al.,PloS one,2012-11-08,"Administration, Topical; Animals; Antigens; Cells, Cultured; Dermatitis, Contact; Endocytosis; Female; Homeostasis; Langerhans Cells; Lysophospholipids",https://pubmed.ncbi.nlm.nih.gov/23145172/
20811395,Decreased concentration and enhanced metabolism of sphingosine-1-phosphate in lesional skin of dogs with atopic dermatitis: disturbed sphingosine-1-phosphate homeostasis in atopic dermatitis.,,Bäumer Wolfgang; Rossbach Kristine; Mischke Reinhard; Reines Ilka; Langbein-Detsch Ines et al.,The Journal of investigative dermatology,2010-09-02,"Animals; Dermatitis, Atopic; Dog Diseases; Dogs; Homeostasis; Lysophospholipids; Sphingosine",https://pubmed.ncbi.nlm.nih.gov/20811395/
20802177,FTY720 regulates bone marrow egress of eosinophils and modulates late-phase skin reaction in mice.,"Eosinophilia in the blood and skin is frequently observed in patients with certain inflammatory skin diseases, such as atopic dermatitis. However, the mechanism underlying eosinophil circulation and the role of eosinophils in cutaneous immune responses remain unclear. In repeated hapten application-induced cutaneous responses in BALB/c mice, the administration of FTY720 before the last challenge decreased the number of skin-infiltrating eosinophils and reduced the late-phase reaction. A similar reduction of the late-phase reaction was observed by a sphingosine-1-phosphate G protein-coupled receptor (S1P1)-selective agonist, SEW2871. We monitored numerous alterations of eosinophils in the blood, spleen, bone marrow, and lymph nodes of interleukin-5 transgenic mice, used as an eosinophilia model, following FTY720 administration. The number of circulating eosinophils was significantly decreased after treatment with FTY720, and eosinophils accumulated in the bone marrow. In addition, eosinophils expressed S1P1, S1P3, and S1P4 mRNAs, and their chemotactic response to S1P was abolished by FTY720 as well as by SEW2871. These findings suggest that FTY720 affects the number of eosinophils in both the blood and skin by inhibiting the egress of eosinophils from the bone marrow and thus downmodulating the late-phase reaction.",Sugita Kazunari; Kabashima Kenji; Sakabe Jun-Ichi; Yoshiki Ryutaro; Tanizaki Hideaki et al.,The American journal of pathology,2010-08-27,"Animals; Blotting, Western; Bone Marrow; Cell Movement; Chemotaxis; Disease Models, Animal; Eosinophils; Female; Fingolimod Hydrochloride; Flow Cytometry",https://pubmed.ncbi.nlm.nih.gov/20802177/
19194476,Topical application of sphingosine-1-phosphate and FTY720 attenuate allergic contact dermatitis reaction through inhibition of dendritic cell migration.,"Migration of Langerhans cells (LCs) from the skin to the lymph node is an essential step in the pathogenesis of allergic contact dermatitis (ACD). Therefore, inhibition of LC-migration could be a promising strategy to improve this skin disease. Effects of sphingosine-1-phosphate (S1P) and the immunomodulator FTY720 on LC trafficking is not well defined, yet. Thus, we investigated the action of topically administered S1P and FTY720 in a murine model of ACD. Most interestingly, FTY720 as well as S1P inhibited the inflammatory reaction in the elicitation phase of ACD. In the sensitization phase, FTY720, and S1P reduced the weight and cell count of the draining auricular lymph node, as well as immigrated dendritic cells provoked by repetitive topical administration of the hapten. Correspondingly, the density of LCs in the epidermis was higher in FTY720- and S1P-treated mice compared to vehicle treatment. A skin dendritic cell migration assay confirmed the significant inhibition of dendritic cell migration by FTY720 and S1P. These data supply conclusive evidence that the strategy of targeting the migratory response of LCs with locally acting S1P or FTY720 represents an emerging option in the treatment of allergic skin diseases like contact hypersensitivity and atopic dermatitis.",Reines Ilka; Kietzmann Manfred; Mischke Reinhard; Tschernig Thomas; Lüth Anja et al.,The Journal of investigative dermatology,2009-02-05,"Administration, Topical; Animals; Cell Movement; Dendritic Cells; Dermatitis, Allergic Contact; Female; Fingolimod Hydrochloride; Histocompatibility Antigens Class II; Immunosuppressive Agents; Lysophospholipids",https://pubmed.ncbi.nlm.nih.gov/19194476/
19394200,Gene expression in canine atopic dermatitis and correlation with clinical severity scores.,"Canine atopic dermatitis (cAD) is a common condition in dogs that may be a naturally occurring model for human atopic dermatitis (hAD). Despite this, comparative research is limited, particularly into the genetic background of cAD. 1. Measure candidate gene expression in cAD skin using quantitative real time PCR (qPCR). 2. Correlate gene expression to clinical cAD scores (Canine Atopic Dermatitis Extent and Severity Index[CADESI]-03 and intradermal allergen test [IDT]). mRNA was extracted from biopsies of non-lesional and lesional skin from atopic dogs, and healthy skin from non-atopic dogs. Gene expression was quantified using qPCR, and compared between non-lesional atopic, lesional atopic and healthy skin. Gene expression in atopic skin was correlated with clinical severity (CADESI-03) and the number of positive reactions on an IDT. Of the 20 quantified genes, 11 demonstrated statistically significant altered mRNA expression between atopic and healthy skin; dipeptidyl-peptidase-4 (DPP4), phosphatidylinositol-3,4,5-trisphosphate-5-phosphatase-2 (INPPL1), serine protease inhibitor kazal type-5 (SPINK5), sphingosine-1-phosphate lyase-1 (SGPL1), peroxisome proliferator-activated receptor gamma (PPARgamma), S100 calcium-binding protein A8 (S100A8), Plakophilin-2 (PKP2), Periostin (POSTN), Cullin4A, TNF-alpha and metalloproteinase inhibitor-1 (TIMP-1). Three genes correlated with CADESI-03: serum amyloid A 1 (SAA-1), S100A8, and PKP2; and four with IDT results: mast cell protease I (CMA1), SAA-1, S100A8 and SPINK5. Genes with altered expression included those relevant to skin barrier formation and immune function, suggesting both are relevant in the pathogenesis of AD. Many of these genes reflect the proposed pathogenesis in hAD, supporting the use of dogs as a model for hAD. Furthermore, these genes may be considered suitable targets for future genetic and protein function studies in human and canine AD.",Wood Shona H; Clements Dylan N; Ollier William E; Nuttall Tim; McEwan Neil A et al.,Journal of dermatological science,2009-04-24,"Allergens; Animals; Base Sequence; Dermatitis, Atopic; Disease Models, Animal; Dog Diseases; Dogs; Female; Gene Expression Regulation; Humans",https://pubmed.ncbi.nlm.nih.gov/19394200/
18385762,"K6PC-5, a direct activator of sphingosine kinase 1, promotes epidermal differentiation through intracellular Ca2+ signaling.","Sphingosine-1-phosphate (S1P), a bioactive sphingolipid metabolite, regulates multiple cellular responses such as Ca(2+) signaling, growth, survival, and differentiation. Because sphingosine kinase (SphK) is the enzyme directly responsible for production of S1P, many factors have been identified that regulate its activity and subsequent S1P levels. Here we synthesized a previously unidentified SphK activator, K6PC-5, and have studied its effects on intracellular Ca(2+) signaling in HaCaT cells and epidermal differentiation in murine skin. K6PC-5, a hydrophobic compound chemically named N-(1,3-dihydroxyisopropyl)-2-hexyl-3-oxo-decanamide, activated SphK (obtained from C57BL/6 murine blood and F9-12 cell lysates) in a dose-dependent manner. K6PC-5 induced both intracellular Ca(2+) concentration ([Ca(2+)](i)) oscillations in HaCaT cells and Ca(2+) mobilization in hairless mouse epidermis. Both dimethylsphingosine (DMS) and dihydroxysphingosine (DHS), SphK inhibitors, and transfection of SphK1-siRNA blocked K6PC-5-induced increases in [Ca(2+)](i). The K6PC-5-induced [Ca(2+)](i) oscillations were dependent on thapsigargin-sensitive Ca(2+) stores and Ca(2+) entry, but independent of the classical phospholipase C-mediated pathway. In addition, K6PC-5 enhanced the expression of involucrin and filaggrin, specific differentiation-associated marker proteins in HaCaT cells, whereas transfection of SphK1-siRNA blocked the increase of involucrin. Topical K6PC-5 also enhanced the expression of involucrin, loricrin, filaggrin, and keratin 5 in intact murine epidermis. Finally, topical K6PC-5 inhibited epidermal hyperplasia by exerting antiproliferative effects on keratinocytes in murine epidermis. These results suggest that K6PC-5 acts to regulate both differentiation and proliferation of keratinocytes via [Ca(2+)](i) responses through S1P production. Thus, regulation of S1P levels may represent a novel approach for treatment of skin disorders characterized by abnormal differentiation and proliferation, such as atopic dermatitis and psoriasis.",Hong Jeong Hee; Youm Jong-Kyung; Kwon Mi Jung; Park Byeong Deog; Lee Yong-Moon et al.,The Journal of investigative dermatology,2008-04-03,"Amides; Animals; Calcium; Calcium Signaling; Cell Differentiation; Cell Line; Cell Line, Tumor; Cell Proliferation; Enzyme Activators; Epidermis",https://pubmed.ncbi.nlm.nih.gov/18385762/
18039015,Sphingosine-1-phosphate signaling and the skin.,"Sphingolipids have long been viewed as rather passive structural components of cellular membranes. More recently, it has become evident that metabolism of sphingomyelin yields several lipid mediators that evoke diverse and specific responses in different cell types. One sphingomyelin derivate, sphingosine-1-phosphate (S1P), has attracted particular attention for its effect on epidermal cells, which differs from those on most other cell types. S1P inhibits keratinocyte proliferation and induces keratinocyte differentiation and migration, suggesting a role for S1P in the re-epithelialization of wounds. The migratory response involves the phosphorylation and activation of Smad3. In epithelial tumors, S1P signaling has been linked with potential oncogenic effects, but has also been found to inhibit metastasis in a mouse melanoma model. S1P promotes endothelial cell survival, acts as a chemoattractant for vascular cells, and exerts a protective effect on the endothelial barrier. Conversely, S1P receptor knockout leads to embryonic lethality mainly due to impaired vascular maturation. S1P presumably modulates peripheral T-lymphocyte levels by stimulating their egress from lymphoid organs rather than by promoting T-cell proliferation. The S1P analog FTY720 (fingolimod) acts as a functional antagonist by inhibiting lymphocyte egress, and thus holds great promise as an immunosuppressant drug for the prevention of allograft rejection and treatment of T-lymphocyte-driven inflammatory skin diseases, such as lupus erythematosus, psoriasis, and atopic dermatitis. Topical use of S1P and other sphingosine compounds is also under investigation, particularly for the treatment of acne vulgaris.",Herzinger Thomas; Kleuser Burkhard; Schäfer-Korting Monika; Korting Hans Christian,American journal of clinical dermatology,2007-01-01,"Acne Vulgaris; Animals; Cell Transformation, Neoplastic; Connective Tissue; Epidermis; Fingolimod Hydrochloride; Humans; Immunity; Immunosuppressive Agents; Lysophospholipids",https://pubmed.ncbi.nlm.nih.gov/18039015/
11590211,Sphingosylphosphorylcholine is an activator of transglutaminase activity in human keratinocytes.,"We characterize functional roles of a newly discovered chemical, sphingosylphosphorylcholine (SPC), in the epidermis by elucidating the biological effect of SPC on human keratinocytes in culture. The intracellular calcium level of human keratinocytes was increased by incubation with SPC, but not with sphingosine (SS) or sphingomyelin (SM). The addition of SPC, sphingosine 1-phosphate (SSP), or SS to human keratinocytes at 10 microM concentrations also significantly suppressed DNA synthesis, and SPC, but not SSP, or SS increased the activities of membrane-bound and soluble transglutaminases (TGases). Reverse transcription polymerase chain reaction (RT-PCR) of TGase transcripts revealed that SPC treatment at 10 microM concentrations increased the expression of TGase 1 mRNA. The increased activity of soluble TGase was accompanied by the concomitant activation of cathepsin D as revealed by the increased ratio of mature active form to inactive intermediate form of the protease. Pretreatment of human keratinocytes with pepstatin, a protease inhibitor, blocked the increase in soluble TGase activity induced by treatment with SPC. Consistently, SPC treatment at 1-10 microM concentrations stimulated the cornified envelope formation. These findings suggest that SPC plays an important role in the altered keratinization process of epidermis in skin diseases with high expression of sphingomyelin deacylase, such as atopic dermatitis.",Higuchi K; Kawashima M; Takagi Y; Kondo H; Yada Y et al.,Journal of lipid research,2001-Oct-01,"Calcium; Cathepsin D; Cell Division; Cells, Cultured; DNA; Enzyme Activation; Humans; Keratinocytes; Phosphorylcholine; RNA, Messenger",https://pubmed.ncbi.nlm.nih.gov/11590211/
